Case: Case Number,Case: Subject,Case: Description,Case: Product Name,Automation Item Name,Created Date,Body,Feedback,Detailed Feedback,Case: Status,Case: Client Escalated,processed_text
TS016646928,Slow replication,"We have setup PBR replication to remote array. We have a 3G pipe to replicate with but the replication is very, very slow.",FlashSystem 5200,AI-1585583,2024-10-17,"Customer Sentiment neutral Description Summary Not Summarized Slow replication We have setup PBR replication to remote array. We have a 3G pipe to replicate with but the replication is very, very slow. Feed Summary Customer reported slow replication on their FS5200 system with serial number 78F1FDF. They have a 3G pipe for replication but the replication is very slow. They requested help and installation instructions. Support agent provided links and help to drive the customer to perform the firmware update. Support agent also investigated the slow replication issue and found that the ethernet stats files from both nodes could imply network issues driving the latency issue and indirectly the throughput issue. They suggested engaging the network support provider to verify packet loss and retransmit rates between the replication IP addresses and recommended confirming the ethernet switch ports are able to handle 10 Gbps. Customer confirmed the connection is dedicated and the Ethernet ports on these 5200s are operating at 1 Gbps. The port speed needs to get to 10 Gbps. They were advised to check the speed on the switch ports and engage network support. Later, the customer confirmed they have updated the partnership settings on both clusters to compress data prior to sending it over the link. They were also advised to enable a second circuit on the link between the clusters to enable a second replication stream between the clusters. The customer was also advised to check if the link between the clusters is dedicated and if the switch ports are able to handle 10 Gbps. They were also advised to engage network support to examine performance between replication IPs 192.168.2.108 and 10.69.0.130 via port 3265. The customer confirmed they are working on updating the connections to 10G. Resolution Summary Confirmed Solution Not Summarized Solution Attempts *Generated by watsonx*: Replication on July 3 was between: Production node1 (78F1FDF-2) eth1 (id 2): id node\_name port\_id portset\_name IP\_address prefix gateway entry\_id -- --------- ------- ------------ ------------- ------ ----------- -------- 0 node1 2 Ward\_portset 192.168.2.108 22 192.168.0.5 0 Recovery node2 (78F1EXR) eth1 (id 2): id node\_name port\_id portset\_name IP\_address prefix gateway entry\_id -- --------- ------- ------------ ------------- ------ ----------- -------- 1 node2 2 Ward\_portset 10.69.0.130 24 10.69.0.1 The ethernet stats files from both of these nodes could imply network issues is driving the latency issue and indirectly the throughput issue. Can't make a definitive statement since we have a limited set of point in time execution of Linux level commands. We suggest that you engage your network support provider to verify packet loss and retransmit rates between the replication IP addresses are as low as possible, examine TCP port 3265. Recommendations: Confirm ethernet switch ports are able to handle 10 Gbps. Enabling a second circuit on the link between the cluster would have permitted the use of both nodes in both clusters. Only -link1 parameter was used when creating the IP partnership. Network support provider to examine performance between replication IPs 192.168.2.108 and 10.69.0.130 via port 3265.",Too Long,Good summary,Closed by IBM,0,customer sentiment neutral description summary summarized slow replication setup pbr replication remote array pipe replicate replication slow feed summary customer reported slow replication system serial number pipe replication replication slow requested help installation instruction support agent provided link help drive customer perform firmware update support agent also investigated slow replication issue found ethernet stats file node could imply network issue driving latency issue indirectly throughput issue suggested engaging network support provider verify packet loss retransmit rate replication ip address recommended confirming ethernet switch port able handle gbps customer confirmed connection dedicated ethernet port operating gbps port speed need get gbps advised check speed switch port engage network support later customer confirmed updated partnership setting cluster compress data prior sending link also advised enable second circuit link cluster enable second replication stream cluster customer also advised check link cluster dedicated switch port able handle gbps also advised engage network support examine performance replication ip via port customer confirmed working updating connection resolution summary confirmed solution summarized solution attempt generated watsonx replication july production id id prefix gateway recovery id id prefix gateway ethernet stats file node could imply network issue driving latency issue indirectly throughput issue ca make definitive statement since limited set point time execution linux level command suggest engage network support provider verify packet loss retransmit rate replication ip address low possible examine tcp port recommendation confirm ethernet switch port able handle gbps enabling second circuit link cluster would permitted use node cluster parameter used creating ip partnership network support provider examine performance replication ip via port
TS017570375,sfp ar?zas? TX de?eri dü?ük görünmektedir.,sfp ar?zas? TX de?eri dü?ük görünmektedir.,SAN b-type Collection,AI-1586034,2024-10-17,"Customer Sentiment Not available Description Summary Not Summarized The sfp failure TX is looking low. The sfp failure TX is seen as low. Feed Summary The customer reported an issue with a low TX power on the SFP port on their FC switch. The customer was asked to upload a zipped Broadcom supportsave log for review. The customer uploaded the log and IBM Support analyzed it. The analysis showed that port 6/25 (175) kept having loss sync, link fail, and link reset events in the 17 hours of port stats run time collected. The SFP's TX power was also lower than expected. IBM Support recommended replacing the SFP and the customer agreed. IBM Support created a work order for SFP replacement and the SFP was delivered to the customer. The customer confirmed the delivery and the case was closed. Resolution Summary Confirmed Solution Not Summarized: Mail send to: Mevlüt Dinç (Altyap? Teknolojileri Bölümü) Hey Mevlut, I can see where port 6/25 (175) keeps having loss sync, link fail, and link reset events in the ~17 hours of port stats run time collected. See below: switchshow: Index Slot Port Address Media Speed State Proto [Alias Name] ================================================================================================================== 185 6 25 1cd180 id N32 No_Sync FC - ! May need attention - porterrshow: frames enc crc crc too too bad enc disc link loss loss frjt fbsy c3timeout pcs uncor tx rx in err g_eof shrt long eof out c3 fail sync sig tx rx err err 185: 186.8m 55.7m 0 0 0 0 0 0 0 0 4.3k 2.2k 0 0 0 0 0 0 795 - ! May need attention - MAPS History Data: Stats(Units) Current CRC(CRCs) - ITW(ITWs) - LOSS_SYNC(SyncLoss) 6/25(2293) LF(LFs) 6/25(4393) LOSS_SIGNAL(LOS) - PE(Errors) - STATE_CHG 6/25(503) LR(LRs) 6/25(723) Looking at this SFP's TX power, it is lower than what is expected for a healthy SFP: sfpshow: ============= Slot 6/Port 25: ============= Identifier: 3 SFP Connector: 7 LC Transceiver: 6804404000000000 8,16,32_Gbps M5 sw Short_dist ... Vendor Name: BROCADE Vendor OUI: 00:05:1e Vendor PN: 57-1000333-01 [Brocade PN: XIB-000212], [IBM PN: 01FD983] ... RX Power: -0.9 dBm (819.3uW) TX Power: -4.3 dBm (369.2 uW) We should go ahead and replace this SFP. Please answer the following questions so a work order can be created to ship a replacement SFP and dispatch an SSR: 1. Address where the fc switch is located and where we should deliver the part? Street: City: State: Post Code: Country: 2. Who will accept the part (name and phone number)? 3. Preferred date & time for the SSR to go on site? 4. Are there any specific instructions for the SSR (e.g. access arrangement, car plates etc..)? Solution Attempts Not Summarized",None,The Feed summary was good. Not sure why the resolution summary could not be summarized by AI though?,Closed by IBM,0,customer sentiment available description summary summarized sfp failure tx looking low sfp failure tx seen low feed summary customer reported issue low tx power sfp port fc switch customer asked upload zipped broadcom supportsave log review customer uploaded log ibm support analyzed analysis showed port kept loss sync link fail link reset event hour port stats run time collected sfp tx power also lower expected ibm support recommended replacing sfp customer agreed ibm support created work order sfp replacement sfp delivered customer customer confirmed delivery case closed resolution summary confirmed solution summarized mail send mevlüt dinç altyap teknolojileri bölümü hey mevlut see port keep loss sync link fail link reset event hour port stats run time collected see switchshow index slot port address medium speed state proto alias name id fc may need attention porterrshow frame enc crc crc bad enc disc link loss loss frjt fbsy pc uncor tx rx err shrt long eof fail sync sig tx rx err err may need attention map history data stats unit current crc crcs itw itws syncloss lf lf los pe error lr lr looking sfp tx power lower expected healthy sfp sfpshow slot identifier sfp connector lc transceiver sw vendor name brocade vendor oui vendor pn brocade pn ibm pn rx power dbm tx power dbm uw go ahead replace sfp please answer following question work order created ship replacement sfp dispatch ssr address fc switch located deliver part street city state post code country accept part name phone number preferred date time ssr go site specific instruction ssr access arrangement car plate etc solution attempt summarized
TS017145362,"btvp001394, FCH24227DMQ - DDR4_P2_H2_ECC:Sensor Threshold Crossed; DDR4_P2_H1_ECC:Sensor Threshold Crossed",Host is down with the error description below: Affected object : sys/chassis-1/blade-5/health-led Description : sys/chassis-1/blade-5/health-led shows error. Reason DDR4_P2_H2_ECC:Sensor Threshold Crossed; DDR4_P2_H1_ECC:Sensor Threshold Crossed; ID : 63519043 Type : equipment Cause : health-led-amber-blinking Created at : 2024-08-29T21:37:30Z,UCS Series,AI-1587692,2024-10-18,"Customer Sentiment neutral Description Summary Not Summarized btvp001394, FCH24227DMQ - DDR4_P2_H2_ECC:Sensor Threshold Crossed; DDR4_P2_H1_ECC:Sensor Threshold Crossed Host is down with the error description below: Affected object : sys/chassis-1/blade-5/health-led Description : sys/chassis-1/blade-5/health-led shows error. Reason DDR4_P2_H2_ECC:Sensor Threshold Crossed; DDR4_P2_H1_ECC:Sensor Threshold Crossed; ID : 63519043 Type : equipment Cause : health-led-amber-blinking Created at : 2024-08-29T21:37:30Z Feed Summary Not available Resolution Summary Confirmed Solution Not Summarized: Moved server from slot5 to slot8, discovery completed, and also replaced dimm h1. Asked client to submit new logs for review. Solution Attempts *Generated by watsonx*: The resolution for this case is to disassociate the service profile from slot 1/5 and associate it to slot 1/8. The steps to do this are provided in the email, including monitoring the status and FSM for the server to confirm that the disassociation completed. If any alerts are encountered during this process, they should be shared in the follow-up logs.",Missing information,"Missing a lot of newer info, but it is due to missing marks for solution provided.",Awaiting your feedback,0,customer sentiment neutral description summary summarized sensor threshold crossed sensor threshold crossed host error description affected object description show error reason sensor threshold crossed sensor threshold crossed id type equipment cause created feed summary available resolution summary confirmed solution summarized moved server discovery completed also replaced dimm asked client submit new log review solution attempt generated watsonx resolution case disassociate service profile slot associate slot step provided email including monitoring status fsm server confirm disassociation completed alert encountered process shared log
TS017414259,Reset admin password via serial port,"Hi support team Due to the passing on our storage administrator, we need to reset the admin password of our SAN24B-6 SAN switches via the serial port. From the IBM maintenance documents, it concerns the following switches Type/Model 8960-F24 Serials: 755378D 755379F Can you please provide the procedure? Many thanks.",SAN b-type Collection,AI-1588454,2024-10-18,"Customer Sentiment neutral Description Summary Not Summarized Reset admin password via serial port Hi support team Due to the passing on our storage administrator, we need to reset the admin password of our SAN24B-6 SAN switches via the serial port. From the IBM maintenance documents, it concerns the following switches Type/Model 8960-F24 Serials: 755378D 755379F Can you please provide the procedure? Many thanks. Feed Summary Customer requested a procedure to reset the admin password via the serial port for their SAN switches. IBM support requested a support save and provided instructions on how to collect it. Customer informed IBM that they don't have access to the switches and requested the procedure again. IBM support informed the customer that it is a billable process and provided instructions on how to proceed. No response was received from the customer, and IBM support closed the case.",Added incorrect information (hallucination),"Case was closed by the client, not by IBM Support as stated in the summary",Closed by IBM,0,customer sentiment neutral description summary summarized reset admin password via serial port hi support team due passing storage administrator need reset admin password san switch via serial port ibm maintenance document concern following switch serial please provide procedure many thanks feed summary customer requested procedure reset admin password via serial port san switch ibm support requested support save provided instruction collect customer informed ibm access switch requested procedure ibm support informed customer billable process provided instruction proceed response received customer ibm support closed case
TS016896883,CPU is running hot,"Hello, We have discover, that first CPU of the Slicestor is running hot. The hot CPU is CPU 0 in attached picture. Issue has been active since node was started. No other node has a similar issue. What suggestions do you have regarding this?",Cloud Object Storage,AI-1588768,2024-10-18,"Customer Sentiment negative Description Summary Not Summarized CPU is running hot Hello, We have discover, that first CPU of the Slicestor is running hot. The hot CPU is CPU 0 in attached picture. Issue has been active since node was started. No other node has a similar issue. What suggestions do you have regarding this? Feed Summary Customer reported that the first CPU of the Slicestor is running hot. Support agent suggested performing a power cycle and uploading a dump-log for review. Customer uploaded the logs and it was found that the temperature of CPU 0 is higher than CPU 1. It was suggested to position swap the CPU's to check if the high temperature readings follow the CPU or not. After position swapping, it was found that the high temperature still remains with the slot. Dell support was then involved and they suggested replacing the motherboard. After replacing the motherboard, the issue was resolved. Resolution Summary Confirmed Solution Not Summarized: Replaced motherboard and restored settings. Tested ok Solution Attempts *Generated by watsonx*: Can you please share a suitable time and date for such an intervention to take place? Please also let us know if SSR access needs to be arranged. Please also confirm the intervention address. [IBM Product Support Case Feed Document] Subject: Position swap CPU's to find out if the temp issue follows the CPU or not To: [Support Team] We have been asked to position swap the CPU's to find out if the temperature issue follows the CPU or not. Can you please share a suitable time and date for such an intervention to take place? Please also let us know if SSR access needs to be arranged. Additionally, please confirm the intervention address. Thank you. [End of Document] Summary: The support team has been asked to position swap the CPU's to find out if the temperature issue follows the CPU or not. They are requesting a suitable time and date for the intervention, as well as confirmation of the intervention address and whether SSR access needs to be arranged.",Too Long,Feed summary is wrong - the issue hasn't been resolved. Resolution summary is bad - can't make anything of it really.,IBM is working,0,customer sentiment negative description summary summarized cpu running hot hello discover first cpu slicestor running hot hot cpu cpu attached picture issue active since node started node similar issue suggestion regarding feed summary customer reported first cpu slicestor running hot support agent suggested performing power cycle uploading review customer uploaded log found temperature cpu higher cpu suggested position swap cpu check high temperature reading follow cpu position swapping found high temperature still remains slot dell support involved suggested replacing motherboard replacing motherboard issue resolved resolution summary confirmed solution summarized replaced motherboard restored setting tested ok solution attempt generated watsonx please share suitable time date intervention take place please also let u know ssr access need arranged please also confirm intervention address ibm product support case feed document subject position swap cpu find temp issue follows cpu support team asked position swap cpu find temperature issue follows cpu please share suitable time date intervention take place please also let u know ssr access need arranged additionally please confirm intervention address thank end document summary support team asked position swap cpu find temperature issue follows cpu requesting suitable time date intervention well confirmation intervention address whether ssr access need arranged
TS017245439,IBM V5000 Partnerships Not Present,"Surabaya MTM: 2078-124 S/N: 781DR76 Customer Name : PT Pegadaian Location : Telkomsigma Data Center Surabaya, Jl. Raya Bukit Bali, Lakarsantri, Jawa Timur, 60211 PIC : Dhani, Herdian Phone Number : 089654295389, 081294655858 Email : dhanny.hf@pegadaian.co.id, herdian.wibisono@global-infotech.co.id After Upgrade firewall Surabaya Partnerships Not Present, remote copy lost synchronization, and replication idling Disconnected, how to fix this please need your advice.",Storwize V5000,AI-1589350,2024-10-18,"Customer Sentiment Not available Description Summary Not available Feed Summary The customer is experiencing issues with IBM V5000 Partnerships Not Present after upgrading the firewall in Surabaya. The customer is also experiencing remote copy lost synchronization and replication idling disconnected. The customer was provided with a link to upload logs and was asked to provide the logs for further investigation. The customer was also offered remote assistance. The customer was advised to check if ports 3260 and 3265 are open as the logs show that both 3265 and 3260 ports listen but do not establish connection. The customer has scheduled a meeting for the action plan to be executed on 18 October at 21.30 Jakarta time. Resolution Summary Confirmed Solution Not Summarized Solution Attempts *Generated by watsonx*: The issue is ongoing at least from 2023 as we can see from the event log from the secondary cluster. The issue is a network problem, with overrun and dropped packets observed on the Ethernet ports dedicated for replication. Specifically, there are 13024 overrun packets on node1 for cluster port ID 2, and 2880689 dropped packets on node1 for cluster port ID 1. The partner system Pegadaian-V5010-DRC also has dropped packets on its eth0 port. The config nodes from both systems are carrying the communication. It is recommended to replace the Ethernet cables and investigate the network with the network team and/or raise this to the Ethernet switch vendor. Please note that both clusters are on EOS (end of support) hardware and software which are on best effort guidelines and are not eligible for RCA. It is recommended to discuss this with the team internally to refresh the system hardware.",None,Good summary,Awaiting your feedback,0,customer sentiment available description summary available feed summary customer experiencing issue ibm partnership present upgrading firewall surabaya customer also experiencing remote copy lost synchronization replication idling disconnected customer provided link upload log asked provide log investigation customer also offered remote assistance customer advised check port open log show port listen establish connection customer scheduled meeting action plan executed october jakarta time resolution summary confirmed solution summarized solution attempt generated watsonx issue ongoing least see event log secondary cluster issue network problem overrun dropped packet observed ethernet port dedicated replication specifically overrun packet cluster port id dropped packet cluster port id partner system also dropped packet port config node system carrying communication recommended replace ethernet cable investigate network network team raise ethernet switch vendor please note cluster eos end support hardware software best effort guideline eligible rca recommended discus team internally refresh system hardware
TS017529902,Ho to verify the Checksum for MF71687_x86.iso,"This HMC is currently at level V10 R3 M1051 and I want to install the PTF MF71687_x86.iso. In the readme file this checksum is indicated: 33bcea6b8cd55d5bf2e9be09f87f0b394e634b7b but I do not see any instructions about the method for check the file after the download. Please, where I can find instructions for checking the checksum of PTF MF71688_ppc.iso (and in general for all files downloaded from fixcentral)? Thank You. Lorenzo",Power System Hardware Management Console Physical Appliance,AI-1589687,2024-10-18,"Customer Sentiment neutral Description Summary The customer is seeking instructions on how to verify the checksum for a downloaded PTF (Program Temporary Fix) file from FixCentral. They have already downloaded the MF71687_x86.iso file and are checking the checksum provided in the readme file, which is 33bcea6b8cd55d5bf2e9be09f87f0b394e634b7b. However, they are unable to find instructions on how to check the checksum after the download. The customer is also interested in learning how to check the checksum for other files downloaded from FixCentral. Feed Summary Customer requested instructions on how to verify the checksum for a downloaded file (MF7 Resolution Description Confirmed Solution Not Summarized Solution Attempts *Generated by watsonx*: The checksum for iFix MF71687 and MF71688 can be found at the following link: . For future reference, the checksum of a given iFix can be found by clicking on ""Show patched by"" and ""Description"" on the Fix Central site. It is also recommended to upgrade the HMC over to the latest version V10R3M1060.",None,The Summary just copies the text from the resolution description,Closed by IBM,0,customer sentiment neutral description summary customer seeking instruction verify checksum downloaded ptf program temporary fix file fixcentral already downloaded file checking checksum provided readme file however unable find instruction check checksum download customer also interested learning check checksum file downloaded fixcentral feed summary customer requested instruction verify checksum downloaded file resolution description confirmed solution summarized solution attempt generated watsonx checksum ifix found following link future reference checksum given ifix found clicking show patched description fix central site also recommended upgrade hmc latest version
TS017570345,Synchronous synchronization,Hi i have flashsystem7300 in 2 distant sites i want to create Synchronous synchronization between spesific volumes (from prduction to DR ) as i can see for now i have only abillty to create Synchronous synchronization PBR we have 1GB line with 2ms TTL can you help me to create this architecture ?,FlashSystem 7300,AI-1591697,2024-10-18,"Customer Sentiment negative Description Summary The customer is looking to create a synchronous synchronization between two distant sites using a FlashSystem 7300 with a 1GB line and 2ms TTL. The customer wants to ensure that specific volumes are synchronized between the production and disaster recovery sites. The customer has already set up a PBR (Point-in-Time Recovery) for this purpose. Feed Summary Customer is having issues with synchronization on their FlashSystem 7300. They have a consistency group called PRD2MAS that is in a consistent\_synchronized state on both clusters, but the synchronization stops randomly. The customer does not want to replace it with asynchronous PBR, but instead wants to know why the synchronization is stopping. The support agent suspects that the issue may be due to insufficient bandwidth for Metro Mirror or link dropping. The agent suggests changing the background copy rate to 50% to see if that resolves the issue. The customer agrees to monitor the systems to see if the synchronization problems persist. Resolution Summary Confirmed Solution Not Summarized Solution Attempts *Generated by watsonx*: 90% background copy rate seems to be too high as PBR (Policy-based Replication) is running over the same link. Possible causes for insufficient bandwidth for Metro Mirror include: * 90% of the bandwidth being consumed by PBR, leaving only a small bandwidth for Metro Mirror * Link dropping, which is link-related and not storage-related Event 1720 ""Remote Copy suffered loss of synchronization"" is related to link down. Recommendations: * Lower the background copy rate for PBR to ensure sufficient bandwidth for Metro Mirror * Investigate and resolve any link-related issues to prevent loss of synchronization.",None,Good on-demand summary,Closed by IBM,0,customer sentiment negative description summary customer looking create synchronous synchronization two distant site using flashsystem line ttl customer want ensure specific volume synchronized production disaster recovery site customer already set pbr recovery purpose feed summary customer issue synchronization flashsystem consistency group called state cluster synchronization stop randomly customer want replace asynchronous pbr instead want know synchronization stopping support agent suspect issue may due insufficient bandwidth metro mirror link dropping agent suggests changing background copy rate see resolve issue customer agrees monitor system see synchronization problem persist resolution summary confirmed solution summarized solution attempt generated watsonx background copy rate seems high pbr replication running link possible cause insufficient bandwidth metro mirror include bandwidth consumed pbr leaving small bandwidth metro mirror link dropping event remote copy suffered loss synchronization related link recommendation lower background copy rate pbr ensure sufficient bandwidth metro mirror investigate resolve issue prevent loss synchronization
TS017339597,IBM COS slicestore - top drive tray not working,"One of the new IBM COS jbod devices (Dell R650), was shipped with a defective internal part when you pulled the drive tray out it did not allow the top drive tray to slide back in. It is the drive wiring harness/plastic track in the under left of attached photo. The track is held to the back of the drive tray by 2 pins, but the track in the defective unit was free flowing (only held up by the wires themselves). In this state the drive tray would not close. We took pliers and tried to reattach the 2 pins. This partially worked and allowed us to close the drive tray.",Cloud Object Storage,AI-1592212,2024-10-18,"Customer Sentiment neutral Description Summary The customer had an issue with the top drive tray of an IBM COS jbod device not working due to a defective wiring harness/plastic track. They attempted to fix the problem by reattaching the wiring harness using pliers, which partially resolved the issue, allowing them to close the drive tray. Feed Summary Not Summarized Resolution Summary Confirmed Solution Not Summarized: Assist heather with install and removal of chassis Solution Attempts *Generated by watsonx*: The case is resolved. The ME484 and the disk have been replaced, and the new ME484 now holds the correct Asset Tag. The old chassis needs to be returned to Dell using the provided return label.",Missing information,"No feed summary provided. For solution summary we have a complex situation. Confirmed solution did fix original issue, but introduced a new one. Due this, there are 2 solution attempts after confirmed solution, as well as many other posts and lots of information. Since there is no feed summary, and solution summary did not consider anything after confirmed solution, everything happened after that is completely missing.",Awaiting your feedback,0,customer sentiment neutral description summary customer issue top drive tray ibm co jbod device working due defective wiring track attempted fix problem reattaching wiring harness using plier partially resolved issue allowing close drive tray feed summary summarized resolution summary confirmed solution summarized assist heather install removal chassis solution attempt generated watsonx case resolved disk replaced new hold correct asset tag old chassis need returned dell using provided return label
TS017620362,New system has five failed drives; replacements needed,"Five drives in a new system are present in the IDRAC with a zero byte count. From the ClevOS CLI storagectl list, the five drives are missing from the view of the OS. One working and one non working drive were swapped between two bays to rule out a bay hardware problem. The factory install of the ClevOS was performed with the erase option. These drives seem to be problematic. We are requesting replacement drives be shipped.",Cloud Object Storage,AI-1592244,2024-10-18,"Customer Sentiment neutral Description Summary The customer's new system has five failed drives, and they are requesting replacement drives to replace the problematic ones. The drives are not visible in the OS view, and the customer has already tried swapping a working and a non-working drive between two bays to rule out a bay hardware problem. The factory install of the ClevOS was performed with the erase option. Feed Summary Customer reported five drives in a new system are present in the IDRAC with a zero byte count. Support confirmed the issue and requested replacement drives from Dell. Customer provided TSR logs to confirm the issue. Support provided the case number and entitlement information to Dell for RMA. Dell confirmed the issue and provided a replacement for the drives and carriers. Case closed. Resolution Summary Not available",Added incorrect information (hallucination),Feed summary says Dell have provided replacement parts and that the case is closed. In reality we're waiting for confirmation of shipment and shipping details from Dell. Case is all but closed.,IBM is working,0,customer sentiment neutral description summary customer new system five failed drive requesting replacement drive replace problematic one drive visible o view customer already tried swapping working drive two bay rule bay hardware problem factory install clevos performed erase option feed summary customer reported five drive new system present idrac zero byte count support confirmed issue requested replacement drive dell customer provided tsr log confirm issue support provided case number entitlement information dell rma dell confirmed issue provided replacement drive carrier case closed resolution summary available
TS017620362,New system has five failed drives; replacements needed,"Five drives in a new system are present in the IDRAC with a zero byte count. From the ClevOS CLI storagectl list, the five drives are missing from the view of the OS. One working and one non working drive were swapped between two bays to rule out a bay hardware problem. The factory install of the ClevOS was performed with the erase option. These drives seem to be problematic. We are requesting replacement drives be shipped.",Cloud Object Storage,AI-1592244,2024-10-18,"Customer Sentiment neutral Description Summary The customer's new system has five failed drives, and they are requesting replacement drives to replace the problematic ones. The drives are not visible in the OS view, and the customer has already tried swapping a working and a non-working drive between two bays to rule out a bay hardware problem. The factory install of the ClevOS was performed with the erase option. Feed Summary Customer reported five drives in a new system are present in the IDRAC with a zero byte count. Support confirmed the issue and requested replacement drives from Dell. Customer provided TSR logs to confirm the issue. Support provided the case number and entitlement information to Dell for RMA. Dell confirmed the issue and provided a replacement for the drives and carriers. Case closed. Resolution Summary Not available",Added incorrect information (hallucination),"It completely anticipated the future. We haven't contacted Dell yet, neither them confirmed the issue, and of course the case is not closed.",IBM is working,0,customer sentiment neutral description summary customer new system five failed drive requesting replacement drive replace problematic one drive visible o view customer already tried swapping working drive two bay rule bay hardware problem factory install clevos performed erase option feed summary customer reported five drive new system present idrac zero byte count support confirmed issue requested replacement drive dell customer provided tsr log confirm issue support provided case number entitlement information dell rma dell confirmed issue provided replacement drive carrier case closed resolution summary available
